LU_Name,DWR_CAML_Code,CropGroup_LanduseGroup
(Unknown referent),2161,No data
Airport runways,2156,Barren
Alfalfa,1601,"Alfalfa, Clover"
Alkali Desert Scrub,4,Shrub/Forest
Almonds,412,Nuts
Annual Grassland,3,Native Pasture
Apricots,402,Tree Fruit
Artichokes,2001,Vegetables and Berries
Asparagus,2002,Vegetables and Berries
Aspen,5,Shrub/Forest
Avocados,305,Subtropical
Barley,701,Grain and Hay
Barren,6,Barren
Barren and Wasteland,1410,Barren
Barren Land,1413,Barren
Beans (dry),610,Field Crops
Beans (green),2003,Vegetables and Berries
Bitterbrush,7,Shrub/Forest
Blue Oak Woodland,9,Shrub/Forest
Blue Oak-Foothill Pine,8,Shrub/Forest
Brackish water,1465,Water
Broccoli,2022,Vegetables and Berries
Brush and Timber,1455,Shrub/Forest
Brussels Sprouts,2025,Vegetables and Berries
Bush berries,2019,Vegetables and Berries
Cabbage,2023,Vegetables and Berries
Carrots,2006,Vegetables and Berries
Cauliflower,2024,Vegetables and Berries
Celery,2007,Vegetables and Berries
Cemeteries - irrigated,2134,Urban
Cemeteries - non-irrigated,2135,Urban
Chamise-Redshank Chaparral,12,Shrub/Forest
Cherries,403,Tree Fruit
Citrus and Subtropical (Also Miscellaneous subtropical and jojoba),300,Subtropical
Closed-Cone Pine-Cypress,11,Shrub/Forest
Clover,1602,"Alfalfa, Clover"
Coastal Oak Woodland,10,Shrub/Forest
Coastal Scrub,13,Shrub/Forest
Commercial,2110,Industrial
Corn (Field and Sweet),606,"Corn, Sorghum, Sudan"
Cotton,601,Cotton
Dairy farm,1903,Farm
Dates,304,Subtropical
Deciduous Fruits and Nuts,400,Tree Fruit
Desert Riparian,15,Riparian
Desert Scrub,17,Shrub/Forest
Desert Succulent Shrub,18,Shrub/Forest
Desert Wash,19,Water
DirectAppCode = 1 (urban),10001,Urban (DirAppCode 1)
DirectAppCode = 2 (lagoon),10002,Lagoons (DirAppCode 2)
DirectAppCode = 3 (corrals),10003,Corrals (DirAppCode 3)
DirectAppCode = 5 (golf courses),10005,Golf Courses (DirAppCode 5)
DirectAppCode = 65xx (FP percolation basins),16500,FP Percolation Basins (DirAppCode 65xx)
DirectAppCode = 6xxx (WWTP percolation basins),16000,WWTP Percolation Basins (DirAppCode 6xxx)
Douglas-Fir,14,Shrub/Forest
Dry stream channels,1411,Barren
Eastside Pine,20,Shrub/Forest
Estuarine,21,Water
Eucalyptus,77,Shrub/Forest
Eucalyptus,310,Shrub/Forest
Extractive Industries,2122,Industrial
Farmstead (with residence),1901,Farm
Farmstead (without residence),1905,Farm
"Field Crops (includes Flax, Hops, Castor Beans, Miscellaneous Field, and Millet)",600,Field Crops
Figs,409,Tree Fruit
"Flowers, nursery, Christmas tree farms",2016,Vegetables and Berries
Forest,1456,Shrub/Forest
Freshwater Emergent Wetland,22,Riparian
"Freshwater lake, reservoir",1464,Water
Fruit and Vegetable cannery,212911,Industrial
Golf course,2132,Urban
Grain and Hay (includes miscellaneous),700,Grain and Hay
Grain sorghum,607,"Corn, Sorghum, Sudan"
Grapefruit,301,Subtropical
Grassland,1451,Native Pasture and Grassland
Greenhouse,2027,Industrial
Heavy Brush,1454,Shrub/Forest
Hotels,2112,Urban
Idle â€“ Cropped Past 3 Years,901,Barren
Idle â€“ New Lands,902,Barren
Induced high water table native pasture,1605,Native Pasture and Grassland
Industrial,2120,Industrial
Institutions,2115,Urban
Jeffrey Pine,24,Shrub/Forest
Joshua Tree,25,Shrub/Forest
Juniper,26,Shrub/Forest
Kiwis,308,Subtropical
Klamath Mixed Conifer,27,Shrub/Forest
Lacustrine,28,Water
Lawn - irrigated,2131,Urban
Lemons,302,Subtropical
Lettuce,2008,Vegetables and Berries
Light Brush,1452,Shrub/Forest
Livestock feedlot operation,1902,Farm
Lodgepole Pine,29,Shrub/Forest
Low Sage,30,Shrub/Forest
Manufacturing,2121,Industrial
